ID,direction,speed,reliability
1000001733,T,19,6
1000001734,T,22,6
1000002671,F,39,6
1000010642,F,30,6
1000010643,F,30,6
1000031793,T,8,8
1000031794,T,6,8
1000031796,F,31,6
1000031797,F,31,6
1000031798,T,48,6
1000031799,T,48,6
1000031802,F,31,6
1000031803,F,47,7
1000045872,T,18,6
1000045873,T,18,6
1000048552,T,4,6
1000065214,F,15,8
1000065215,F,14,8
1000100739,F,30,10
1000100739,T,33,6
1000100740,F,32,8
1000100740,T,34,6
1000108276,F,34,6
1000108276,T,23,6
1000108277,F,34,6
1000108277,T,23,6
1000173657,F,46,6
1000173658,F,47,6
1000173659,F,47,6
1000175912,F,37,6
1000175913,F,12,6
1000175914,F,47,6
1000175915,F,47,6
1000181054,T,30,8
1000181055,T,30,8
1000217851,T,30,10
1000217852,T,30,8
1000217853,T,38,10
1000217854,T,30,10
1000237911,F,43,7
1000237912,F,44,7
1000237921,T,45,6
1000237922,T,44,6
1000244284,T,30,7
1000244285,T,27,9
1000496356,T,79,6
1000497844,F,50,6
1000497856,F,90,6
1000498309,F,45,6
1000498310,F,45,6
1000500279,F,31,6
1000503467,F,23,8
1000503467,T,10,6
1000503469,T,32,6
1000503470,T,31,6
1000504151,T,70,6
1000504174,T,39,6
1000504971,T,50,6
1000504972,T,50,6
1000504973,T,50,6
1000504975,F,37,8
1000504976,F,37,8
1000504977,F,35,8
1000505005,F,34,6
1000505010,T,3,6
1000505011,T,3,6
1000505074,F,31,6
1000505251,T,54,6
1000505252,T,54,6
1000509210,F,50,6
1000509213,T,30,6
1000509217,T,50,6
1000509272,F,25,6
1000509273,F,25,6
1000509281,F,30,6
1000509282,F,30,6
1000509291,F,26,6
1000509292,F,26,6
1000509296,F,48,6
1000509298,F,48,8
1000509326,F,50,6
1000509327,F,30,6
1000509335,F,50,6
1000509813,T,30,6
1000509814,T,30,6
1000509816,T,30,6
1000509818,T,30,6
1000509820,F,70,6
1000509821,F,70,6
1000509822,F,70,6
1000509823,F,70,6
1000509824,F,70,6
1000509825,F,70,6
1000509827,F,73,6
1000509830,F,78,7
1000509831,F,67,6
1000509832,F,65,6
1000509833,F,70,6
1000509834,F,70,6
1000509835,T,30,6
1000509836,T,30,6
1000509837,T,50,6
1000509839,F,50,6
1000509840,F,50,6
1000509841,F,50,6
1000509842,T,50,6
1000510585,F,53,6
1000510585,T,52,6
1000510586,F,53,6
1000510586,T,90,6
1000510587,F,53,6
1000510587,T,68,6
1000510592,T,39,6
1000510593,T,50,6
1000510905,T,30,6
1000510906,T,30,6
1000510907,F,30,6
1000510915,F,26,6
1000510916,F,26,6
1000510919,F,36,9
1000510920,F,31,9
1000510925,F,31,6
1000510926,F,31,6
1000510999,T,9,10
1000511000,T,9,6
1000511001,F,30,6
1000511002,F,30,6
1000511252,F,30,6
1000511254,F,30,6
1000511298,F,50,6
1000511299,F,50,6
1000511489,F,62,6
1000511489,T,70,6
1000511495,F,76,6
1000511495,T,72,6
1000511496,F,60,6
1000511496,T,70,6
1000511497,F,50,6
1000511497,T,69,6
1000511502,T,30,6
1000511503,T,30,6
1000511504,F,58,6
1000511505,F,65,6
1000511566,T,50,6
1000511567,T,50,6
1000512032,F,30,6
1000512033,F,30,6
1000512092,T,30,6
1000512093,F,30,6
1000512103,F,79,6
1000512103,T,69,6
1000512110,F,30,6
1000512113,F,80,6
1000512114,F,80,6
1000512115,F,50,7
1000512116,F,50,7
1000512117,F,50,6
1000512118,F,50,6
1000512221,F,30,6
1000512222,F,30,6
1000512223,T,8,6
1000512224,F,30,6
1000512725,F,37,7
1000512726,F,31,7
1000512847,F,42,6
1000512848,F,42,6
1000512851,F,42,6
1000512852,F,42,6
1000512853,T,54,6
1000512894,T,30,6
1000512895,T,30,6
1000512896,T,30,6
1000512897,T,30,6
1000512898,F,30,8
1000512900,F,30,6
1000512901,F,30,6
1000512906,T,30,6
1000512907,T,30,6
1000513043,F,47,8
1000513044,F,35,6
1000513045,F,38,6
1000513047,T,70,6
1000513264,F,30,6
1000513265,F,30,6
1000513266,F,30,6
1000513267,T,30,6
1000513268,F,38,6
1000513269,F,38,6
1000513324,T,73,6
1000513325,F,30,6
1000513326,F,46,6
1000513329,F,30,6
1000513330,F,30,6
1000513371,T,73,7
1000513372,T,76,7
1000513378,F,28,10
1000513379,F,30,10
1000513549,F,5,6
1000513553,F,36,6
1000513811,F,30,6
1000513812,F,30,6
1000513813,T,30,6
1000513814,T,30,6
1000513815,T,30,6
1000513827,F,30,6
1000513848,T,25,6
1000513849,F,32,8
1000513850,T,50,6
1000513851,F,25,6
1000513927,F,30,6
1000513928,F,30,6
1000513929,F,30,6
1000513930,F,30,6
1000513936,F,30,6
1000513937,F,30,6
1000514130,F,26,10
1000514131,F,28,10
1000514134,F,30,10
1000514135,F,30,10
1000553152,T,50,6
1000553153,T,50,6
1000554546,F,28,8
1000554547,F,15,8
1000554554,F,24,6
1000554555,F,28,6
1000554556,F,30,6
1000554559,F,30,6
1000555008,F,50,6
1000555754,F,29,6
1000555754,T,57,8
1000555757,T,50,7
1000555758,T,50,7
1000555761,F,62,8
1000555761,T,53,6
1000555763,F,40,6
1000555764,T,39,7
1000555765,T,50,7
1000555767,F,75,6
1000555768,F,71,6
1000555770,T,48,6
1000556833,F,37,6
1000556834,F,36,6
1000556835,F,37,6
1000556838,T,30,6
1000556839,T,30,6
1000556844,F,30,6
1000556846,F,30,6
1000556847,F,30,6
1000556848,F,39,6
1000556849,F,39,6
1000556850,T,50,6
1000556851,T,50,6
1000558208,F,30,6
1000558209,F,30,6
1000558429,T,27,6
1000558430,T,30,6
1000558432,T,30,6
1000558433,T,30,6
1000558434,T,30,6
1000558435,T,30,6
1000558484,F,74,6
1000558485,F,36,6
1000558486,F,62,6
1000558489,F,30,6
1000558490,F,30,6
1000558494,F,26,6
1000558495,F,41,6
1000558496,F,59,6
1000558496,T,51,6
1000558497,F,62,7
1000558497,T,51,6
1000558499,F,80,6
1000558499,T,50,6
1000558500,F,74,7
1000558643,T,50,6
1000558644,T,39,10
1000558645,T,39,10
1000558648,F,50,6
1000558649,F,50,6
1000558651,F,36,8
1000558652,F,35,8
1000558657,T,20,8
1000558661,F,42,6
1000558662,F,50,6
1000558662,T,65,6
1000558663,F,50,6
1000558663,T,50,6
1000559993,T,70,6
1000559994,T,70,6
1000560668,T,30,6
1000560669,T,30,6
1000560670,T,30,6
1000560671,T,30,6
1000560676,F,37,6
1000560677,F,37,6
1000560682,F,30,6
1000560683,F,30,6
1000562492,F,17,6
1000562493,T,51,8
1000562494,T,54,8
1000562495,F,53,6
1000562496,F,65,6
1000562497,F,75,6
1000562498,F,30,6
1000562499,F,76,6
1000562499,T,90,6
1000562500,F,76,6
1000562500,T,90,6
1000562507,T,30,6
1000562508,F,30,6
1000562662,T,30,8
1000562663,T,30,8
1000562666,T,30,8
1000562667,T,30,8
1000562668,T,30,8
1000562669,T,30,8
1000562676,T,30,6
1000562677,F,30,6
1000562678,T,30,6
1000562683,F,30,6
1000562684,F,30,6
1000562686,F,23,6
1000562687,F,23,6
1000564871,T,50,6
1000564872,T,50,6
1000566500,T,50,6
1000566501,T,50,6
1000567241,F,66,8
1000567241,T,53,6
1000567242,F,79,8
1000567242,T,53,6
1000567243,F,81,8
1000567243,T,53,6
1000567244,F,83,8
1000567244,T,53,6
1000567245,F,84,8
1000567246,F,76,8
1000567246,T,56,7
1000567249,T,23,6
1000567250,T,44,6
1000567251,T,44,6
1000567252,T,44,6
1000567256,F,49,8
1000567257,F,42,8
1000567262,T,27,6
1000567263,T,27,6
1000567264,F,42,8
1000567265,F,35,8
1000567266,F,50,6
1000567267,F,50,6
1000567268,F,66,6
1000567269,F,69,6
1000567453,F,50,6
1000567938,F,50,6
1000568163,F,50,8
1000568164,F,50,8
1000568533,F,28,6
1000568541,F,90,6
1000568542,F,90,8
1000568545,F,58,6
1000568550,F,55,9
1000568550,T,56,10
1000568553,F,61,6
1000568553,T,52,6
1000568554,F,60,6
1000568554,T,45,6
1000569669,T,32,6
1000569671,T,32,6
1000571435,F,30,6
1000571436,F,30,6
1000571437,F,30,6
1000571442,F,30,6
1000571443,F,30,6
1000571443,T,25,6
1000571575,F,25,6
1000571576,F,25,6
1000571577,F,30,6
1000571578,F,30,6
1000573789,F,30,6
1000573790,F,30,6
1000574006,F,73,6
1000574007,F,73,6
1000574008,F,57,6
1000574009,F,70,6
1000574012,T,59,6
1000574013,F,57,6
1000574015,F,71,6
1000575407,T,33,6
1000575408,F,24,8
1000575408,T,26,6
1000575410,T,50,8
1000575411,T,51,8
1000575412,F,70,6
1000575413,F,69,6
1000576186,F,30,6
1000576187,F,30,6
1000576211,F,42,8
1000576212,F,42,8
1000576215,T,53,7
1000576216,T,55,7
1000576217,T,32,9
1000576218,T,36,9
1000576421,F,30,6
1000576421,T,30,6
1000576422,F,30,6
1000576422,T,30,6
1000576426,F,30,6
1000576426,T,14,6
1000576427,F,30,6
1000576427,T,8,6
1000576428,T,30,6
1000576429,T,30,6
1000576430,T,30,6
1000576432,F,30,6
1000576432,T,27,6
1000576433,F,30,6
1000576433,T,14,6
1000576730,F,30,6
1000576731,F,30,6
1000582348,F,18,6
1000582492,T,41,6
1000582493,T,50,6
1000582501,F,50,6
1000582502,F,57,6
1000582503,F,61,8
1000582504,F,30,6
1000582504,T,30,6
1000582505,F,30,6
1000583015,F,50,7
1000583016,F,50,7
1000583029,F,75,6
1000583035,F,50,7
1000583036,F,50,7
1000583079,T,30,6
1000583080,T,30,6
1000583081,F,30,6
1000583082,F,30,6
1000583087,T,39,6
1000583088,T,39,6
1000583156,F,41,6
1000583277,F,58,7
1000583278,F,66,7
1000583283,F,80,6
1000583284,F,79,6
1000583293,F,30,6
1000583294,F,30,6
1000583411,T,57,6
1000583753,F,30,6
1000583754,F,17,6
1000583759,T,25,7
1000583760,T,22,6
1000583761,T,26,6
1000583788,T,50,6
1000583789,T,50,6
1000584586,F,34,7
1000584586,T,14,8
1000585011,F,40,6
1000585012,T,44,6
1000585013,F,41,8
1000585013,T,50,6
1000585014,F,48,8
1000585014,T,50,6
1000585016,F,40,6
1000602237,T,50,6
1000602238,T,50,6
1000602247,T,42,6
1000602248,T,42,6
1000602412,F,28,10
1000602413,T,28,10
1000602419,T,45,6
1000602420,F,44,6
1000602421,F,44,6
1000602619,T,30,8
1000602620,T,30,8
1000602637,F,65,8
1000602637,T,53,6
1000602638,F,66,8
1000602638,T,53,6
1000602639,F,52,8
1000602639,T,25,6
1000602641,T,43,6
1000602642,T,46,6
1000602645,F,32,6
1000602646,F,44,6
1000602647,F,28,8
1000602647,T,35,6
1000602648,F,19,8
1000602648,T,67,6
1000602649,F,31,8
1000602649,T,47,6
1000602653,T,61,8
1000602656,T,50,6
1000602811,F,27,6
1000602812,F,37,6
1000602813,F,27,6
1000602814,T,22,6
1000602817,F,30,6
1000602818,F,30,6
1000602819,F,30,6
1000602820,F,30,6
1000602823,T,49,7
1000602824,T,49,7
1000602829,F,50,8
1000602830,F,50,6
1000602833,T,42,6
1000602834,F,37,6
1000602839,T,50,6
1000602946,F,50,6
1000602946,T,50,6
1000602947,T,50,6
1000602957,T,50,6
1000602960,T,50,6
1000603097,T,30,7
1000603098,T,30,7
1000603101,T,30,7
1000603102,T,30,7
1000603103,T,30,7
1000603104,T,30,7
1000603105,T,30,7
1000603106,T,30,7
1000603113,F,50,6
1000603114,F,50,6
1000603117,T,27,6
1000603118,T,27,6
1000603321,F,50,6
1000603322,F,50,6
1000603415,F,50,8
1000603415,T,50,8
1000603416,F,44,8
1000603416,T,47,8
1000603417,T,31,6
1000603432,F,33,6
1000603433,F,33,6
1000603576,T,30,8
1000603577,T,30,8
1000603578,T,30,8
1000603579,T,30,8
1000603580,T,45,6
1000603581,T,45,6
1000603583,F,61,8
1000603625,T,75,6
1000603718,F,42,8
1000603719,F,42,8
1000603723,F,31,8
1000603723,T,30,6
1000603724,F,42,8
1000603724,T,39,6
1000603726,F,29,8
1000603727,T,50,6
1000603729,F,15,6
1000603730,F,22,8
1000603745,F,30,6
1000603746,F,30,6
1000603747,F,42,8
1000603748,F,42,8
1000603752,F,35,7
1000603754,T,14,7
1000604160,F,30,6
1000604161,F,30,6
1000604162,F,30,6
1000604163,T,41,6
1000604213,F,50,6
1000604214,F,50,6
1000604217,T,36,6
1000604218,T,36,6
1000604219,F,36,6
1000604220,F,36,6
1000604221,T,35,6
1000604222,T,44,6
1000604223,T,30,8
1000604224,T,30,8
1000604225,T,50,6
1000604226,T,50,6
1000604346,T,48,6
1000604349,T,50,10
1000604350,T,50,10
1000604351,F,50,6
1000604352,F,50,8
1000604353,F,37,8
1000604354,F,37,8
1000604356,F,16,6
1000604359,T,50,10
1000604796,F,50,6
1000604797,F,35,6
1000604932,F,88,8
1000604941,T,50,6
1000604990,T,30,6
1000604991,T,30,6
1000605114,F,65,6
1000605115,F,50,6
1000605116,F,50,6
1000605117,F,74,6
1000605124,F,42,8
1000605125,F,42,8
1000605126,F,42,8
1000605132,T,32,6
1000605134,T,32,6
1000605145,F,50,8
1000605146,F,49,8
1000605147,F,34,6
1000605148,F,34,6
1000605150,F,34,6
1000605153,T,32,6
1000605154,T,32,6
1000605155,F,50,8
1000605156,F,50,8
1000605165,T,50,6
1000605166,T,50,6
1000605167,T,63,8
1000605168,T,80,8
1000605208,F,34,6
1000605209,F,34,6
1000605221,F,31,6
1000605222,F,31,6
1000605223,F,31,6
1000605224,F,29,6
1000605225,F,30,7
1000605496,F,46,6
1000605497,F,46,6
1000605498,T,47,6
1000605499,T,47,6
1000605500,T,38,10
1000605501,T,36,10
1000605508,T,34,10
1000605509,T,33,10
1000605510,T,47,6
1000605511,T,47,6
1000605529,F,50,6
1000605531,T,25,7
1000605532,T,25,7
1000605533,T,31,7
1000605534,T,36,7
1000605886,F,30,6
1000605887,T,30,6
1000605888,F,30,6
1000605889,F,30,6
1000605892,T,20,6
1000605894,T,12,6
1000605895,T,12,6
1000606103,F,69,6
1000606104,F,69,6
1000606123,T,45,10
1000606124,T,44,10
1000606211,F,47,6
1000606212,F,50,6
1000606215,F,31,6
1000606216,F,36,6
1000606219,T,33,8
1000606220,T,33,8
1000606276,T,38,6
1000606277,T,38,6
1000606327,T,55,6
1000606328,T,54,6
1000606329,T,58,6
1000606330,T,59,6
1000606333,T,50,6
1000606334,T,50,6
1000607251,F,30,6
1000607251,T,29,6
1000607256,T,30,6
1000607262,F,30,6
1000607263,F,30,6
1000607268,T,35,6
1000607269,T,17,6
1000607290,F,30,6
1000607290,T,27,6
1000607291,F,30,6
1000607291,T,27,6
1000607513,F,36,6
1000607513,T,43,7
1000607514,F,36,6
1000607514,T,50,6
1000607515,F,50,6
1000607515,T,50,6
1000607516,F,50,6
1000607516,T,50,6
1000607525,F,30,6
1000607526,F,30,6
1000607529,F,31,6
1000607530,F,11,6
1000607670,F,24,10
1000607671,F,27,10
1000607672,F,43,8
1000607673,F,43,8
1000607774,F,50,7
1000607775,F,50,7
1000607776,F,50,7
1000607779,T,45,6
1000607780,T,45,6
1000607787,T,46,6
1000607788,T,46,6
1000607828,F,30,9
1000607828,T,10,6
1000607829,F,35,9
1000607829,T,36,6
1000607830,F,31,6
1000607833,F,31,6
1000607834,F,31,6
1000607835,F,40,6
1000607836,F,40,6
1000607847,F,50,6
1000607848,F,50,6
1000607849,F,77,6
1000607850,F,77,6
1000607902,T,30,6
1000607903,T,30,6
1000607970,T,14,6
1000607971,T,36,6
1000607978,F,29,6
1000607979,F,29,6
1000607980,F,45,6
1000607985,T,33,6
1000607986,T,20,6
1000607987,T,45,6
1000607991,T,22,6
1000607993,F,30,6
1000607994,F,30,6
1000608049,F,45,10
1000608050,F,27,7
1000608053,F,35,6
1000608054,F,35,6
1000608055,F,35,6
1000608056,F,42,6
1000608057,F,36,6
1000608058,F,41,6
1000608059,F,41,6
1000608062,F,30,6
1000608063,F,31,6
1000608066,F,33,6
1000608067,F,39,6
1000608072,F,45,8
1000608072,T,27,6
1000608073,F,45,8
1000608073,T,27,6
1000608074,F,50,8
1000608075,F,50,8
1000608096,T,50,6
1000608214,F,34,6
1000608256,F,38,6
1000608257,F,35,6
1000608428,F,58,8
1000608428,T,46,8
1000608429,F,33,8
1000608429,T,45,8
1000608432,F,56,8
1000608432,T,65,8
1000608433,F,68,8
1000608433,T,51,8
1000608538,F,30,10
1000608538,T,27,6
1000608539,F,46,8
1000608540,F,30,8
1000608541,F,27,10
1000608542,F,27,10
1000608679,T,18,10
1000608680,T,50,10
1000608681,T,14,10
1000608682,T,15,10
1000608691,T,32,8
1000608712,T,40,10
1000608713,T,40,10
1000608780,T,48,6
1000608781,T,48,6
1000608791,T,30,6
1000608792,T,30,6
1000608793,T,18,6
1000608794,T,23,6
1000608795,T,64,8
1000608796,T,62,8
1000608797,F,66,8
1000608798,F,65,8
1000608832,F,41,8
1000608833,F,41,8
1000608834,F,50,6
1000608835,F,30,6
1000608838,T,40,8
1000608839,T,35,8
1000608844,T,19,6
1000609509,T,25,6
1000609510,T,49,6
1000609520,T,23,6
1000609821,T,45,6
1000609822,T,25,6
1000609824,T,30,7
1000609826,T,30,7
1000609827,T,30,7
1000610056,F,19,10
1000610056,T,23,6
1000610933,F,50,6
1000610933,T,50,6
1000610934,F,50,6
1000610934,T,50,6
1000610935,T,37,6
1000610939,T,50,6
1000610940,T,50,6
1000610941,F,72,7
1000610943,F,30,8
1000611557,T,22,6
1000611558,T,22,6
1000611559,F,19,6
1000611559,T,26,6
